question,answer
What is shown under the Returned tab in PF Settlement?,All the PF Claims which are returned to SI or returned by SI
What is the same functionality followed in Pension Settlement as in PF settlement?,The same functionality is followed as in PF settlement
How can a Section In-charge view the ledger of a member?,By entering the CMPF account number
What is the function of the Login tab?,To login into the account
What is the function of the Officer Login under the Login tab?,To login into the account
Who can enrol himself/herself and create a password?,Section In-charge (SI)
What is shown under the Processed tab in Pension Settlement?,All the Pension Claims which are forwarded to BO/RH
What is shown under the Returned tab in Pension Settlement?,All the Pension Claims which are returned to SI or returned by SI
What is the same functionality followed in PF Advance Claim Settlement as in PF settlement?,The same functionality is followed as in PF settlement
Who can view the ledger details of a member?,Officer
How does a DA update the PF Ledger of the members?,By clicking on the Update button
What is the purpose of the Assign button in PF Advance Claim Settlement?,To forward the claim to the selected Section In-charge
Who is responsible for generating the DPO?,RODA
What is the purpose of the Preview DPO button in PF Advance Claim Settlement?,To generate a draft of the DPO
What is the purpose of the Generate DPO button in PF Advance Claim Settlement?,To generate the DPO
Who can view the ledger of any member who falls under his/her region?,Section In-charge (SI)
What is the function of the View Ledger tab?,To view the ledger of any member who falls under his/her region
Who can add a new row to insert the missing year’s ledger or current year’s ledger in View/Update Ledger?,DA
What is the purpose of the Update button in View/Update Ledger?,To update the PF Ledger of the members
Who can update the PF Ledger of the members?,DA
What is the function of the Save button in View/Update Ledger?,To save the changes
Who can view the ledger details of a member in View/Update Ledger?,Officer
What is the functionality followed in PF Advance Claim Settlement?,The same functionality is followed as seen in case of PF settlement.
Who can view the ledger of any member who falls under his/her region by entering CMPF account number?,SI and BO
What is the task performed by BO in the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, return the claim to RODA if he/she finds any discrepancy, forward the claim to RH, or approve the claim."
How can BO search for a member?,"Using Search Member tab by entering CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, or Name."
What can BO do with a claim in the Processed tab?,The claims Approved/Processed by the BO are shown.
What is the task performed by CA in the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to
How can CA login into his/her account?,By clicking on Officer Login under the Login tab after enrolment.
What options are available after logging into the account for BO?,"Search Member, PF Settlement, Pension Settlement, PF and Pension Settlement, PF Advance Claim settlement, and View Ledger."
How can IDS search for a member?,"IDS can search for member by entering any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, or Name."
What is the functionality followed in Pension Settlement?,The same functionality is followed as in PF settlement.
What can BO do with a claim in the Returned tab?,The PF Claims Returned by BO to RODA/AAO are shown.
What is the task performed by CA in the Search Member tab?,CA can search for any member to view the details.
How can BO return a claim to AAO?,He/she can return the claim to AAO if he/she finds any discrepancy.
What can BO do with a claim in the Approved by BO/RH tab?,View the PF Claim and forward it to
What is the task performed by BO in the Processed tab?,The claims Approved/Processed by the BO are shown.
What is the task performed by BO in the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, return the claim to RODA if he/she finds any discrepancy, forward the claim to RH, or approve the claim."
What can BO do with a claim in the Returned tab?,The PF Claims Returned by BO to RODA/AAO are shown.
What is the task performed by BO in the Approved by BO/RH tab?,View the PF Claim and forward it to
How can BO search for a member?,"Using Search Member tab by entering CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, or Name."
What is the task performed by CA in the Search Member tab?,CA can search for any member to view the details.
What is the task performed by CA in the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to
What can CA do with a claim in the Approved by BO/RH tab?,View the PF Claim and forward it to
What is the task performed by BO in the Processed tab?,The claims Approved/Processed by the BO are shown.
How can CA login into his/her account?,By clicking on Officer Login under the Login tab after enrolment.
What options are available after logging into the account for CA?,"Search Member, PF Settlement, PF and Pension Settlement, PF Advance Claim Settlement, and View Ledger."
What is the task performed by BO in the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, return the claim to RODA if he/she finds any discrepancy, forward the claim to RH, or approve the claim."
What can BO do with a claim in the Processed tab?,The claims Approved/Processed by the BO are shown.
What is the task performed by CA in the Search Member tab?,CA can search for any member to view the details.
What is the task performed by BO in the Approved by BO/RH tab?,View the PF Claim and forward it to
How can IDS search for a member?,"IDS can search for member by entering any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, or Name."
What is the task performed by BO in the Returned tab?,The PF Claims Returned by BO to RODA/AAO are shown.
What is the task performed by CA in the Search Member tab?,CA can search for any member to view the details.
What can BO do with a claim in the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, return the claim to RODA if he/she finds any discrepancy, forward the claim to RH, or approve the claim."
What is the task performed by BO in the Processed tab?,The claims Approved/Processed by the BO are shown.
How can CA search for a member?,"Using Search Member tab by entering CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, or Name."
What is the task performed by BO in the Approved by BO/RH tab?,View the PF Claim and forward it to
What is the task performed by CA in the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to
What can CA do with a claim in the Approved by BO/RH tab?,View the PF Claim and forward it to
What is the task performed by BO in the Returned tab?,The PF Claims Returned by BO to RODA/AAO are shown.
What can BO do with a claim in the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, return the claim to RODA if he/she finds any discrepancy, forward the claim to RH, or approve the claim."
What is the task performed by BO in the Processed tab?,The claims Approved/Processed by the BO are shown.
What is the task performed by CA in the Search Member tab?,CA can search for any member to view the details.
How can BO search for a member?,"Using Search Member tab by entering CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, or Name."
What is the task performed by BO in the Approved by BO/RH tab?,View the PF Claim and forward it to
What is the task performed by BO in the Processed tab?,The claims Approved/Processed by the BO are shown.
What can CA do with a claim in the Approved by BO/RH tab?,View the PF Claim and forward it to
How can BO return a claim to RODA?,He/she can return the claim to RODA if he/she finds any discrepancy.
What is the task performed by CA in the Search Member tab?,CA can search for any member to view the details.
What is the task performed by BO in the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, return the claim to RODA if he/she finds any discrepancy, forward the claim to RH, or approve the claim."
What can BO do with a claim in the Processed tab?,The claims Approved/Processed by the BO are shown.
What is the task performed by CA in the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to
What can IDS search for to view a member's details?,"Any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, Name, PF Settlement"
What is the purpose of the Approved by BO/RH tab?,To show all the PF Claims forwarded by BO/RH to Cashier
What can CA do with a PF Claim in the Approved by BO/RH tab?,View the PF Claim and forward it to the AAO for confirmation or return it to RODA
Where are all the claims which have been forwarded to AAO for confirmation listed?,Under the Sent for Confirmation tab
What are all the claims which have been confirmed by AAO for payment shown under?,Confirmed by AAO tab
What does the Ready for Payment tab list?,Claims that are marked as “Ready for Payment” by the CA after the claim has been confirmed by AAO
Where are the claims returned by the cashier shown?,Under the Returned tab
What is the same functionality followed as in PF settlement for?,PF Advance Claim Settlement
In what tab can the Cashier view ledger of any member?,View Ledger tab
How does In-charge Pension Disbursement Section (IPDS) enrol himself/herself?,Using the Login ID received on his/her mail and creating a password
What options are available after logging into the account?,"Search Member, Pension Settlement, PF and Pension Settlement, View Ledger, Search Member"
"Using Search Member tab, what can IPDS search for?",Any member to view the details
What can IDS search for to view a member's details?,"Any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, Name, PF Settlement"
What is the purpose of the Approved by BO/RH tab in Pension Settlement?,To show all the Pension Claims forwarded by BO/RH to IPDS
What can IPDS do with a Pension Claim in the Approved by BO/RH tab?,View the Pension Claim and forward it to the AAO for confirmation or return it to RODA
Where are all the claims which have been forwarded to AAO for confirmation listed in Pension Settlement?,Under the Sent for Confirmation tab
What are all the claims which have been confirmed by AAO for payment shown under in Pension Settlement?,Confirmed by AAO tab
What does the Ready for Payment tab list in Pension Settlement?,Claims that are marked as “Ready for Payment” by the IPDS after the claim has been confirmed by AAO
Where are the claims returned by the IPDS or returned to IPDS shown?,Under the Returned tab
In what tab can IPDS view ledger of any member?,View Ledger tab
What is the purpose of the View Ledger tab?,To view ledger of any member who falls under his/her region
What is the purpose of the Login tab?,To login into the account
What is the purpose of the Officer Login option?,To login into the account
What is the purpose of the Search Member tab?,To search for any member to view the details
What can CA do with a claim in the Ready for Payment tab?,Mark it as “Ready for Payment”
What can IPDS do with a claim in the Ready for Payment tab?,Mark it as “Ready for Payment”
What is the purpose of the PF Settlement option?,To settle PF claims
What is the purpose of the Pension Settlement option?,To settle pension claims
What is the purpose of the PF and Pension Settlement option?,To settle both PF and pension claims
What is the purpose of the View Ledger option?,To view ledger of any member
What is the purpose of the Search Member option?,To search for any member to view the details
What is the purpose of the Officer Login option?,To login into the account
What is the purpose of the Login tab?,To login into the account
What is the purpose of the View Ledger tab?,To view ledger of any member who falls under his/her region
What is the purpose of the Returned tab?,To show the claims returned by the cashier or returned to IPDS
What is the purpose of the Confirmed by AAO tab?,To show all the claims which have been confirmed by AAO for payment
What is the purpose of the Sent for Confirmation tab?,To show all the claims which have been forwarded to AAO for confirmation
What is the purpose of the Approved by BO/RH tab?,To show all the PF Claims forwarded by BO/RH to Cashier
What is the purpose of the PF Advance Claim Settlement?,To settle PF advance claims
What is the purpose of the Pension Settlement?,To settle pension claims
What is the purpose of the PF and Pension Settlement?,To settle both PF and pension claims
What happens after the claim has been confirmed by AAO?,e IPDS
Where are the claims returned by the IPDS or returned to IPDS shown?,Under the Returned tab
What can be viewed in the View Ledger tab?,Ledger
Who can view the ledger of any member in their region?,IPDS
What is required to view the ledger of a member in the View Ledger tab?,CMPF Account number
What is the purpose of the AAO in the context?,To confirm claims
What is the role of IPDS in the context?,To view ledgers and handle claims
Where can IPDS view the ledger of a member?,In the View Ledger tab
What happens to claims that are returned by the IPDS or returned to IPDS?,They are shown under the Returned tab
What is the function of the Returned tab?,To show claims returned by the IPDS or returned to IPDS
What is the role of the View Ledger tab?,To allow IPDS to view ledgers
What is the purpose of the CMPF Account number in the context?,To identify members for ledger viewing
Who can use the CMPF Account number to view a member's ledger?,IPDS
What is the relationship between IPDS and the View Ledger tab?,IPDS can view ledgers in the View Ledger tab
What happens to a claim after it has been confirmed by AAO?,It is handled by IPDS
What is the role of the AAO in the context?,To confirm claims
What is the function of the View Ledger tab?,To allow IPDS to view ledgers
Who can view the ledger of a member in their region?,IPDS
What is required to view the ledger of a member in the View Ledger tab?,CMPF Account number
What is the purpose of the Returned tab?,To show claims returned by the IPDS or returned to IPDS
What is the role of IPDS in the context?,To view ledgers and handle claims
What can be viewed in the View Ledger tab?,Ledger
Where can IPDS view the ledger of a member?,In the View Ledger tab
What happens to claims that are returned by the IPDS or returned to IPDS?,They are shown under the Returned tab
What is the relationship between IPDS and the View Ledger tab?,IPDS can view ledgers in the View Ledger tab
What is the function of the Returned tab?,To show claims returned by the IPDS or returned to IPDS
Who can use the CMPF Account number to view a member's ledger?,IPDS
What is the purpose of the CMPF Account number in the context?,To identify members for ledger viewing
What is the role of the AAO in the context?,To confirm claims
What happens after the claim has been confirmed by AAO?,e IPDS
What is the role of the View Ledger tab?,To allow IPDS to view ledgers
Where are the claims returned by the IPDS or returned to IPDS shown?,Under the Returned tab
What is the purpose of the View Ledger tab?,To allow IPDS to view ledgers
What is required to view the ledger of a member in the View Ledger tab?,CMPF Account number
Who can view the ledger of a member in their region?,IPDS
What is the relationship between IPDS and the View Ledger tab?,IPDS can view ledgers in the View Ledger tab
What is the function of the Returned tab?,To show claims returned by the IPDS or returned to IPDS
