question,answer
What can a Branch Officer do with a PF Claim under the Received tab?,"He/she can return the claim to AAO if he/she finds any discrepancy, he/she can return the claim to RODA if he/she finds any discrepancy, he/she can forward the claim to RH, he/she can approve the claim"
Where are the claims Approved/Processed by the Branch Officer shown?,Under the Processed tab
Where are the PF Claims Returned by BO to RODA/AAO shown?,Under the Returned tab
What is the same functionality followed as in PF settlement?,Pension Settlement
What is the same functionality followed as seen in case of PF settlement?,PF Advance Claim Settlement
What can a Cashier do after logging into his/her account?,"Following tasks can be performed: Search Member, PF Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
How can a Cashier search for a member?,"Using Search Member tab, CA can search for any member to view the details. IDS can search for member by entering any of the following: CMPFO Account Number, Aadhaar Number, PAN, Mobile Number, Name"
Where are the PF Claims forwarded by BO/RH to Cashier shown?,Under the Approved by BO/RH tab
What can a Cashier do with a PF Claim under the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to 
How can a Cashier view the ledger of a member?,"In the View Ledger tab, BO can view ledger of any member who falls under his/her region by entering CMPF account number"
What is the process for a Cashier to enrol himself/herself?,Cashier (CA) has to enrol himself/herself and create a password using the Login ID received on his/her email
What are the options available for a Cashier after logging into his/her account?,"Following tasks can be performed: Search Member, PF Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
What is the same functionality followed as in PF settlement?,Pension Settlement
What is the same functionality followed as seen in case of PF settlement?,PF Advance Claim Settlement
What can a Cashier view under the Approved by BO/RH tab?,All the PF Claims forwarded by BO/RH to Cashier
How can a Cashier view the details of a member?,"Using Search Member tab, CA can search for any member to view the details"
What can a Cashier do with a PF Claim?,CA can view the PF Claim and can forward it to 
Where are the claims Approved/Processed by the Cashier shown?,Under the Processed tab
Where are the PF Claims Returned by Cashier to RODA/AAO shown?,Under the Returned tab
What can a Cashier do with a PF Claim under the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to 
How can a Cashier view the ledger of a member?,"In the View Ledger tab, BO can view ledger of any member who falls under his/her region by entering CMPF account number"
What is the process for a Cashier to enrol himself/herself?,Cashier (CA) has to enrol himself/herself and create a password using the Login ID received on his/her email
What are the options available for a Cashier after logging into his/her account?,"Following tasks can be performed: Search Member, PF Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
What is the same functionality followed as in PF settlement?,Pension Settlement
What is the same functionality followed as seen in case of PF settlement?,PF Advance Claim Settlement
What can a Cashier do with a PF Claim?,CA can view the PF Claim and can forward it to 
Where are the claims Approved/Processed by the Cashier shown?,Under the Processed tab
Where are the PF Claims Returned by Cashier to RODA/AAO shown?,Under the Returned tab
What can a Cashier do with a PF Claim under the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to 
How can a Cashier view the ledger of a member?,"In the View Ledger tab, BO can view ledger of any member who falls under his/her region by entering CMPF account number"
What is the process for a Cashier to enrol himself/herself?,Cashier (CA) has to enrol himself/herself and create a password using the Login ID received on his/her email
What are the options available for a Cashier after logging into his/her account?,"Following tasks can be performed: Search Member, PF Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
What is the same functionality followed as in PF settlement?,Pension Settlement
What is the same functionality followed as seen in case of PF settlement?,PF Advance Claim Settlement
What can a Cashier do with a PF Claim?,CA can view the PF Claim and can forward it to 
Where are the claims Approved/Processed by the Cashier shown?,Under the Processed tab
Where are the PF Claims Returned by Cashier to RODA/AAO shown?,Under the Returned tab
What can a Cashier do with a PF Claim under the Approved by BO/RH tab?,CA can view the PF Claim and can forward it to 
How can a Cashier view the ledger of a member?,"In the View Ledger tab, BO can view ledger of any member who falls under his/her region by entering CMPF account number"
What is the process for a Cashier to enrol himself/herself?,Cashier (CA) has to enrol himself/herself and create a password using the Login ID received on his/her email
What are the options available for a Cashier after logging into his/her account?,"Following tasks can be performed: Search Member, PF Settlement, PF and Pension Settlement, PF Advance Claim Settlement, View Ledger"
What is the same functionality followed as in PF settlement?,Pension Settlement
What is the same functionality followed as seen in case of PF settlement?,PF Advance Claim Settlement
What can a Cashier do with a PF Claim?,CA can view the PF Claim and can forward it to 
Where are the claims Approved/Processed by the Cashier shown?,Under the Processed tab
Where are the PF Claims Returned by Cashier to RODA/AAO shown?,Under the Returned tab
What is the purpose of the IPDS after the claim has been confirmed by AAO?,The IPDS after the claim has been confirmed by AAO.
Where are the claims returned by the IPDS or returned to IPDS shown?,Under the Returned tab.
What can be viewed in the View Ledger tab?,The ledger.
Who can view the ledger of any member in the View Ledger tab?,IPDS.
What is required to view the ledger of any member in the View Ledger tab?,CMPF Account number.
What is shown under the Returned tab?,Claims returned by the IPDS or returned to IPDS.
What happens after the claim has been confirmed by AAO?,The IPDS is involved.
Where is the information about the claims returned by the IPDS or returned to IPDS located?,Under the Returned tab.
What is the function of the View Ledger tab?,To view the ledger of any member.
Who has access to view the ledger of any member in the View Ledger tab?,IPDS.
What is required to access the View Ledger tab?,The CMPF Account number.
What is the purpose of the Returned tab?,To show the claims returned by the IPDS or returned to IPDS.
What is shown in the View Ledger tab?,The ledger of any member.
What is the role of the IPDS in the View Ledger tab?,To view the ledger of any member.
What is the function of the IPDS after the claim has been confirmed by AAO?,To be involved.
What is shown under the Returned tab?,Claims.
What can be viewed by IPDS in the View Ledger tab?,The ledger of any member.
What is required to view the ledger of any member in the View Ledger tab?,The CMPF Account number.
What is the purpose of the View Ledger tab?,To view the ledger.
Who can view the ledger of any member in the View Ledger tab?,IPDS.
What is shown in the View Ledger tab?,The ledger.
What is the function of the Returned tab?,To show the claims.
What is required to access the View Ledger tab?,The CMPF Account number.
What is the role of the IPDS in the View Ledger tab?,To view the ledger.
What is shown under the Returned tab?,The claims.
What is the purpose of the View Ledger tab?,To view the ledger of any member.
Who has access to view the ledger of any member in the View Ledger tab?,IPDS.
What is the function of the IPDS after the claim has been confirmed by AAO?,To view the ledger.
What is required to view the ledger of any member in the View Ledger tab?,The CMPF Account number.
What is shown in the View Ledger tab?,The ledger of any member.
What is the purpose of the Returned tab?,To show the claims returned by the IPDS or returned to IPDS.
What is the function of the View Ledger tab?,To view the ledger of any member.
What is the role of the IPDS in the View Ledger tab?,To view the ledger.
What is shown under the Returned tab?,Claims.
What is the purpose of the View Ledger tab?,To view the ledger.
Who can view the ledger of any member in the View Ledger tab?,IPDS.
What is the function of the IPDS after the claim has been confirmed by AAO?,To be involved.
What is shown in the View Ledger tab?,The ledger of any member.
What is the purpose of the Returned tab?,To show the claims.
What is the role of the IPDS in the View Ledger tab?,To view the ledger.
What is the function of the View Ledger tab?,To view the ledger.
What is required to view the ledger of any member in the View Ledger tab?,The CMPF Account number.
What is the purpose of the View Ledger tab?,To view the ledger.
What is shown in the View Ledger tab?,The ledger.
Who has access to view the ledger of any member in the View Ledger tab?,IPDS.
What is the function of the IPDS after the claim has been confirmed by AAO?,To view the ledger.
What is the purpose of the Returned tab?,To show the claims.
What is shown under the Returned tab?,The claims returned by the IPDS or returned to IPDS.
What is the role of the IPDS in the View Ledger tab?,To view the ledger.
What is the function of the View Ledger tab?,To view the ledger.
What is required to view the ledger of any member in the View Ledger tab?,The CMPF Account number.
What is the purpose of the View Ledger tab?,To view the ledger.
What is shown in the View Ledger tab?,The ledger.
Who can view the ledger of any member in the View Ledger tab?,IPDS.
What is the function of the IPDS after the claim has been confirmed by AAO?,To view the ledger.
What is the purpose of the Returned tab?,To show the claims.
What is the role of the IPDS in the View Ledger tab?,To view the ledger.
What is the function of the View Ledger tab?,To view the ledger.
What is shown under the Returned tab?,Claims.
What is the purpose of the View Ledger tab?,To view the ledger.
What is required to view the ledger of any member in the View Ledger tab?,The CMPF Account number.
What is shown in the View Ledger tab?,The ledger.
Who has access to view the ledger of any member in the View Ledger tab?,IPDS.
What is the function of the IPDS after the claim has been confirmed by AAO?,To view the ledger.
What is the purpose of the Returned tab?,To show the claims returned by the IPDS or returned to IPDS.
What is the role of the IPDS in the View Ledger tab?,To view the ledger.
What is the function of the View Ledger tab?,To view the ledger.
What is shown in the View Ledger tab?,The ledger of any member.
